Borough,zip,ViolationStatus,ViolationStatus
QUEENS,1257.0,Open,7
QUEENS,1987.0,Open,1
QUEENS,2017.0,Close,1
QUEENS,10368.0,Close,3
QUEENS,10416.0,Close,2
QUEENS,10416.0,Open,1
QUEENS,11001.0,Open,48
QUEENS,11001.0,Close,11
QUEENS,11004.0,Open,72
QUEENS,11004.0,Close,71
QUEENS,11005.0,Close,6
QUEENS,11040.0,Open,5
QUEENS,11040.0,Close,3
QUEENS,11101.0,Open,1851
QUEENS,11101.0,Close,1633
QUEENS,11102.0,Open,3024
QUEENS,11102.0,Close,2591
QUEENS,11103.0,Open,3450
QUEENS,11103.0,Close,2934
QUEENS,11104.0,Open,2428
QUEENS,11104.0,Close,2161
QUEENS,11105.0,Open,3599
QUEENS,11105.0,Close,2408
QUEENS,11106.0,Open,2868
QUEENS,11106.0,Close,2605
QUEENS,11109.0,Close,2
QUEENS,11109.0,Open,1
QUEENS,11232.0,Open,2
QUEENS,11354.0,Close,2676
QUEENS,11354.0,Open,2324
QUEENS,11355.0,Open,4251
QUEENS,11355.0,Close,3689
QUEENS,11356.0,Open,1467
QUEENS,11356.0,Close,851
QUEENS,11357.0,Open,466
QUEENS,11357.0,Close,208
QUEENS,11358.0,Open,1308
QUEENS,11358.0,Close,1117
QUEENS,11360.0,Close,350
QUEENS,11360.0,Open,265
QUEENS,11361.0,Open,755
QUEENS,11361.0,Close,598
QUEENS,11362.0,Close,271
QUEENS,11362.0,Open,121
QUEENS,11363.0,Open,95
QUEENS,11363.0,Close,50
QUEENS,11364.0,Open,693
QUEENS,11364.0,Close,514
QUEENS,11365.0,Close,1274
QUEENS,11365.0,Open,1173
QUEENS,11366.0,Open,329
QUEENS,11366.0,Close,201
QUEENS,11367.0,Open,2005
QUEENS,11367.0,Close,1234
QUEENS,11368.0,Open,9022
QUEENS,11368.0,Close,6956
QUEENS,11369.0,Open,2020
QUEENS,11369.0,Close,1332
QUEENS,11370.0,Open,1318
QUEENS,11370.0,Close,966
QUEENS,11372.0,Open,4836
QUEENS,11372.0,Close,4339
QUEENS,11373.0,Open,6400
QUEENS,11373.0,Close,5796
QUEENS,11374.0,Open,1599
QUEENS,11374.0,Close,1494
QUEENS,11375.0,Open,2135
QUEENS,11375.0,Close,2022
QUEENS,11377.0,Open,5168
QUEENS,11377.0,Close,4382
QUEENS,11378.0,Open,1755
QUEENS,11378.0,Close,1205
QUEENS,11379.0,Close,1588
QUEENS,11379.0,Open,1562
QUEENS,11384.0,Close,1
QUEENS,11385.0,Open,11073
QUEENS,11385.0,Close,9723
QUEENS,11411.0,Open,533
QUEENS,11411.0,Close,200
QUEENS,11412.0,Open,2162
QUEENS,11412.0,Close,749
QUEENS,11413.0,Open,1945
QUEENS,11413.0,Close,557
QUEENS,11414.0,Open,1171
QUEENS,11414.0,Close,864
QUEENS,11415.0,Open,1382
QUEENS,11415.0,Close,973
QUEENS,11416.0,Open,2357
QUEENS,11416.0,Close,1169
QUEENS,11417.0,Open,1640
QUEENS,11417.0,Close,823
QUEENS,11418.0,Open,2576
QUEENS,11418.0,Close,1618
QUEENS,11419.0,Open,2936
QUEENS,11419.0,Close,1080
QUEENS,11420.0,Open,2424
QUEENS,11420.0,Close,1002
QUEENS,11421.0,Open,2066
QUEENS,11421.0,Close,1112
QUEENS,11422.0,Open,1238
QUEENS,11422.0,Close,323
QUEENS,11423.0,Open,1607
QUEENS,11423.0,Close,993
QUEENS,11426.0,Open,239
QUEENS,11426.0,Close,98
QUEENS,11427.0,Open,667
QUEENS,11427.0,Close,405
QUEENS,11428.0,Open,543
QUEENS,11428.0,Close,290
QUEENS,11429.0,Open,1267
QUEENS,11429.0,Close,346
QUEENS,11430.0,Close,4
QUEENS,11430.0,Open,2
QUEENS,11432.0,Open,4607
QUEENS,11432.0,Close,3607
QUEENS,11433.0,Open,3651
QUEENS,11433.0,Close,2395
QUEENS,11434.0,Open,3668
QUEENS,11434.0,Close,1573
QUEENS,11435.0,Open,3669
QUEENS,11435.0,Close,2928
QUEENS,11436.0,Open,1183
QUEENS,11436.0,Close,359
QUEENS,11691.0,Open,7306
QUEENS,11691.0,Close,6836
QUEENS,11692.0,Open,2921
QUEENS,11692.0,Close,1939
QUEENS,11693.0,Open,696
QUEENS,11693.0,Close,299
QUEENS,11694.0,Open,1620
QUEENS,11694.0,Close,1079
QUEENS,11697.0,Open,3
QUEENS,111010.0,Open,3
QUEENS,111102.0,Open,5
QUEENS,11101401.0,Open,3
STATEN ISLAND,10301.0,Open,3071
STATEN ISLAND,10301.0,Close,2016
STATEN ISLAND,10302.0,Open,1537
STATEN ISLAND,10302.0,Close,722
STATEN ISLAND,10303.0,Open,1673
STATEN ISLAND,10303.0,Close,1543
STATEN ISLAND,10304.0,Open,4282
STATEN ISLAND,10304.0,Close,2225
STATEN ISLAND,10305.0,Open,1023
STATEN ISLAND,10305.0,Close,556
STATEN ISLAND,10306.0,Open,1111
STATEN ISLAND,10306.0,Close,551
STATEN ISLAND,10307.0,Open,146
STATEN ISLAND,10307.0,Close,67
STATEN ISLAND,10308.0,Open,265
STATEN ISLAND,10308.0,Close,95
STATEN ISLAND,10309.0,Open,295
STATEN ISLAND,10309.0,Close,116
STATEN ISLAND,10310.0,Open,1164
STATEN ISLAND,10310.0,Close,533
STATEN ISLAND,10312.0,Open,423
STATEN ISLAND,10312.0,Close,205
STATEN ISLAND,10314.0,Open,1524
STATEN ISLAND,10314.0,Close,686
STATEN ISLAND,10325.0,Open,1
